verificationStatus,referenceDesignator,deployYear,deploymentSheetAssetID,rawFileVerification,imageVerification,calFileVerification,calibrationRequired,HITLstatus,HITLnotes,,
VERIFIED,RS01SBPS-PC01A-4C-FLORDD103,2024,ATAPL-58322-00005,MATCH,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS01SBPS-PC01A-4B-PHSENA102,2024,ATAPL-58337-00014,NAN,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS01SBPS-PC01A-4A-DOSTAD103,2024,ATAPL-58320-00005,NAN,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,RS01SBPS-PC01A-4A-CTDPFA103,2024,ATAPL-66662-00001,MATCH,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSPS-SF01B-4F-PCO2WA102,2024,ATOSU-58336-00008,NAN,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,CE04OSPS-SF01B-4A-NUTNRA102,2024,ATAPL-68020-00006,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,CE04OSPS-SF01B-3D-SPKIRA102,2024,ATAPL-58341-00006,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,CE04OSPS-SF01B-3C-PARADA102,2024,ATAPL-78452-00002,NO_FILE,MATCH,VALID_FILE,TRUE,NA,,,
VERIFIED,CE04OSPS-SF01B-3B-OPTAAD105,2024,ATOSU-58332-00009,MATCH,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSPS-SF01B-2B-PHSENA108,2024,ATAPL-58337-00006,NAN,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSPS-SF01B-2A-DOFSTA107,2024,ATOSU-58694-00007,NAN,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,CE04OSPS-SF01B-2A-CTDPFA107,2024,ATOSU-66662-00013,MATCH,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSPS-PC01B-4D-PCO2WA105,2024,ATOSU-58336-00006,NAN,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSPS-PC01B-4B-PHSENA106,2024,ATOSU-58337-00007,NAN,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSPS-PC01B-4A-DOSTAD109,2024,ATOSU-58320-00007,NAN,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,CE04OSPS-PC01B-4A-CTDPFA109,2024,ATOSU-66662-00006,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,CE04OSPD-DP01B-06-DOSTAD105,2024,ATAPL-58320-00009,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,CE04OSPD-DP01B-04-FLNTUA103,2024,ATOSU-70110-00007,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,CE04OSPD-DP01B-03-FLCDRA103,2024,ATOSU-70111-00007,MATCH,NAN,VALID_FILE,TRUE,NA,,,
VERIFIED,CE04OSPD-DP01B-02-VEL3DA105,2024,ATAPL-58346-00004,MATCH,NAN,VALID_FILE,TRUE,NA,,,
